source,dest,packets,traffic_in_bytes
192.168.100.201,239.192.0.1,918871,1855091270
192.168.63.253,192.168.63.254,510117,245032240
192.168.63.254,192.168.63.253,514559,221628782
209.85.137.4,192.168.129.124,38308,54313238
192.168.63.253,192.168.128.2,10628,9147962
18.155.192.122,192.168.128.220,3117,4620791
45.60.67.13,192.168.128.16,1989,2495728
17.57.154.7,192.168.128.16,1424,1961566
192.168.130.44,192.168.63.253,23674,1800070
172.217.31.164,192.168.128.16,1207,1453981
142.250.196.136,192.168.128.16,1082,1413086
65.8.179.77,192.168.128.16,892,1316044
192.168.63.253,192.168.130.44,16072,1272526
142.250.196.104,192.168.128.16,767,1030986
192.168.129.124,209.85.137.4,15490,1029212
192.168.128.16,45.60.67.13,1220,906455
192.168.128.220,192.168.63.253,5008,796930
182.22.16.123,192.168.128.16,443,612462
192.168.129.173,192.168.63.253,7334,577524
192.168.128.2,192.168.63.253,6938,544874
192.168.63.253,192.168.128.220,3635,463726
192.168.63.253,192.168.128.16,2069,444176
192.168.128.52,192.168.63.253,5620,426866
192.168.63.253,192.168.129.173,4952,412408
192.168.130.224,192.168.63.253,5256,403010
192.168.129.212,192.168.63.253,5204,395122
23.216.153.78,192.168.128.16,252,344492
192.168.63.253,192.168.128.52,3783,335028
192.168.63.253,192.168.130.224,3592,329934
192.168.129.180,192.168.63.253,2834,326352
192.168.128.72,192.168.63.253,4022,324128
23.51.14.147,192.168.128.16,314,317691
192.168.129.248,192.168.63.253,3530,315740
192.168.63.253,192.168.129.248,3518,314438
23.62.20.107,192.168.128.16,354,299952
23.51.14.177,192.168.128.16,264,289219
31.13.82.7,192.168.128.16,258,287235
192.168.63.253,192.168.129.212,3415,278822
192.168.130.208,192.168.63.253,3462,264476
192.168.130.192,192.168.63.253,3384,260866
192.168.129.40,192.168.63.253,3386,255556
23.63.233.9,192.168.128.16,252,252189
192.168.63.253,192.168.128.72,2706,243782
192.168.128.16,192.168.63.253,2128,240772
17.23.18.34,192.168.128.220,246,240322
18.205.208.254,192.168.128.16,243,239577
0.0.0.0,255.255.255.255,678,231866
192.168.131.172,192.168.63.253,3002,231074
192.168.130.196,192.168.63.253,2918,227202
192.168.131.192,192.168.63.253,2880,221214
192.168.131.132,192.168.63.253,2842,215900
192.168.131.16,192.168.63.253,2836,214674
192.168.63.253,192.168.130.192,2341,210000
192.168.130.238,192.168.63.253,2528,209394
192.168.129.88,192.168.63.253,2620,206808
192.168.63.254,255.255.255.255,581,198702
192.168.63.253,192.168.129.180,1878,197802
192.168.63.253,192.168.130.208,2358,187252
192.168.63.253,192.168.129.40,2352,183156
192.168.129.69,192.168.63.253,2326,180624
192.168.63.253,192.168.131.192,1962,177472
192.168.130.196,151.101.195.6,281,175914
192.168.130.196,151.101.67.6,279,175830
192.168.130.196,151.101.131.6,270,175092
192.168.63.253,192.168.130.196,1972,171952
192.168.63.253,192.168.131.172,2048,171470
192.168.63.253,192.168.131.132,2059,169826
192.168.130.196,151.101.3.6,270,164100
192.168.129.24,192.168.63.253,2130,163186
192.168.63.253,192.168.129.88,1776,162410
fe80::89b:5560:4689:df8a,ff02::fb,603,160066
192.168.63.253,192.168.131.16,1904,156956
192.168.128.164,192.168.63.253,898,151708
192.168.63.253,192.168.130.238,1692,151430
192.168.33.184,224.0.0.251,613,143446
192.168.130.0,192.168.63.253,1888,142206
192.168.129.196,192.168.63.253,1478,139958
192.168.63.253,192.168.129.196,1474,139428
192.168.63.253,192.168.129.69,1568,136618
192.168.128.16,172.217.31.164,452,121374
192.168.63.253,192.168.129.24,1478,117546
