dest,packets,traffic_in_bytes
239.192.0.1,509832,966058768
192.168.63.254,259664,122208990
192.168.63.253,310051,114699756
192.168.128.2,22699,31473345
151.101.67.6,3046,1397844
151.101.195.6,2991,1393466
151.101.3.6,3008,1382646
151.101.131.6,2973,1382378
17.248.225.44,12321,1006211
17.248.225.29,12135,964170
17.248.167.68,1709,949280
192.168.130.44,5671,927674
17.57.145.137,753,886751
17.248.225.14,10349,818428
17.248.167.102,1375,758994
192.168.33.115,1052,732628
17.248.167.59,1208,702606
17.248.167.56,1117,690252
17.248.167.107,1100,680994
17.248.167.88,1208,669756
17.248.167.40,1036,609004
17.248.167.90,1136,601783
17.248.167.89,1069,598438
17.248.167.53,972,590917
17.248.167.70,1119,590544
17.248.167.105,1060,564918
172.224.111.6,953,560514
17.248.167.85,995,555906
172.224.111.9,892,554442
17.248.167.69,1073,552792
192.168.159.254,4795,543426
17.248.225.69,6578,540980
172.224.111.4,819,536922
17.248.167.52,985,535416
172.224.110.5,912,527078
17.248.167.41,930,503532
17.248.167.43,901,501270
17.248.167.86,898,493152
17.248.167.73,810,479718
17.248.167.87,837,475254
172.224.180.132,765,473580
172.224.111.14,762,472032
172.224.110.6,746,461570
172.224.110.10,771,459578
172.224.180.138,801,459306
172.224.110.7,718,451518
172.224.110.16,798,443304
17.248.167.91,689,442606
17.248.167.58,757,434274
172.224.180.135,659,432462
172.224.111.10,658,421872
172.224.180.4,684,421272
172.224.110.4,679,412998
172.224.111.5,628,401120
17.248.167.54,674,399468
172.224.111.7,637,397896
17.248.167.103,754,397824
172.224.111.13,661,395826
172.224.180.133,637,395252
17.248.167.72,663,391974
172.224.111.11,582,388350
17.248.167.106,739,382200
172.224.110.20,628,374840
17.248.167.75,605,355980
172.224.110.11,637,355848
172.224.111.16,611,355134
192.168.130.224,1903,352862
172.224.180.136,545,351284
17.248.167.55,625,349656
172.224.110.14,544,347280
192.168.130.104,763,342373
172.224.110.8,549,333216
17.248.167.74,546,332950
172.224.110.19,501,326844
8.8.8.8,3699,315359
17.248.225.65,3893,315004
172.224.110.17,452,313824
172.224.110.9,547,312036
8.8.4.4,3718,311480
172.224.180.7,527,310476
17.248.225.68,3845,299750
172.224.110.18,476,294672
17.42.251.69,3821,293302
17.42.251.72,3808,292736
172.224.180.6,511,292130
192.168.128.52,1631,289694
17.248.167.37,512,289580
172.224.110.12,536,288840
17.248.167.36,523,281240
17.248.225.64,3388,277816
192.168.129.173,1899,277554
172.224.110.13,439,272076
172.224.180.9,456,269460
17.248.167.39,466,266266
192.168.129.212,1652,265824
17.248.167.42,442,264426
172.224.180.8,459,263124
17.248.225.66,3054,256124
172.224.180.131,442,249972
17.248.225.70,3198,249332
17.248.167.71,402,245506
172.224.180.137,433,240072
255.255.255.255,696,238032
17.248.225.67,3009,234654
17.248.167.101,433,230874
17.248.167.84,375,228978
172.224.111.12,363,226728
172.224.180.3,345,220068
172.224.111.15,307,218418
172.224.111.8,298,217716
192.168.128.72,1129,211602
17.248.167.104,393,209358
17.248.167.38,366,203310
192.168.129.180,724,200018
192.168.130.192,1301,194648
ff02::fb,1199,177084
172.224.110.15,269,172092
192.168.131.16,786,169774
192.168.129.124,447,167915
192.168.130.208,998,162790
192.168.130.238,980,160122
192.168.129.196,1503,154748
172.224.180.10,298,154644
192.168.129.248,1152,146203
151.101.67.52,198,142342
192.168.129.69,783,139398
17.57.145.27,249,138494
151.101.131.52,193,137928
151.101.3.52,192,137886
151.101.195.52,188,137646
224.0.0.251,1095,136803
64.233.189.108,1738,135532
192.168.33.247,198,134945
64.233.189.109,1727,134690
192.168.129.40,804,131620
17.253.69.207,814,129964
192.168.33.120,571,129731
192.168.130.196,667,123286
17.248.167.100,204,122346
182.248.170.97,1545,119710
172.224.180.5,197,119172
192.168.129.88,700,114002
172.224.180.134,124,110850
192.168.131.172,514,101690
192.168.33.184,199,99108
17.57.155.39,1266,96940
108.177.97.108,1235,94554
108.177.97.109,1215,93010
108.177.125.109,1203,92106
108.177.125.108,1202,92028
192.168.131.192,564,85568
74.125.203.108,1020,78152
142.251.170.109,1015,77842
192.168.130.116,288,77516
142.251.170.108,1010,77452
74.125.203.109,1009,77310
23.217.68.33,574,73202
192.168.131.132,266,70905
31.13.82.174,149,69336
ff02::16,644,65740
17.253.69.196,838,65348
23.52.128.21,827,64506
17.253.69.205,819,63866
23.52.128.17,759,59202
17.253.69.200,731,56954
17.253.69.198,704,54896
17.253.69.195,614,54772
17.57.145.133,163,54237
17.253.69.201,692,53960
17.156.192.7,654,50948
172.64.69.66,74,49914
162.159.194.66,73,49872
162.159.196.66,73,49872
172.64.68.66,72,49830
17.253.69.202,633,49342
17.56.9.32,633,49326
17.253.69.208,620,48344
17.253.69.199,606,47220
57.144.150.34,98,46734
17.253.69.203,596,46488
17.253.69.197,590,46020
17.253.71.148,575,44850
147.92.191.21,81,44546
17.253.71.136,562,43820
192.168.128.160,383,43762
17.253.71.140,555,43258
142.250.194.106,107,42519
23.192.46.178,529,41262
17.253.69.204,525,40950
17.57.12.34,439,40818
142.250.207.42,104,40734
17.253.71.134,522,40684
65.1.18.34,79,39174
31.13.82.1,64,38000
17.253.71.132,481,37486
17.253.71.147,476,37128
17.253.71.151,468,36488
17.253.71.145,467,36410
17.248.167.57,72,35838
23.192.46.138,456,35568
31.13.82.142,50,35516
17.57.155.35,463,35506
192.168.131.140,267,35412
17.253.71.139,454,35396
17.253.69.206,451,35178
17.253.71.137,448,34944
17.57.156.39,443,34410
17.253.71.133,402,33383
17.253.71.144,423,32962
17.253.71.141,419,32666
17.253.71.150,406,31668
ff02::2,456,30760
17.253.71.135,394,30716
142.250.196.138,78,29364
142.250.194.138,78,29364
