source,packets,traffic_in_bytes
192.168.100.201,509832,966058768
192.168.63.253,314048,158343636
192.168.63.254,263750,111181648
192.168.130.44,27913,7993346
192.168.129.173,30273,7029926
192.168.131.16,14204,4100318
192.168.129.212,14405,3678391
192.168.130.224,12355,3504327
192.168.128.72,12747,3465669
192.168.129.40,8744,2987244
192.168.33.120,21368,2750853
192.168.129.88,4507,2434184
192.168.130.238,11750,2058608
192.168.128.52,7816,2041000
192.168.129.69,5161,1808769
192.168.130.208,6061,1638748
192.168.33.184,3481,1302272
192.168.130.196,5913,1297740
192.168.130.116,4919,1228206
192.168.131.132,4469,1173348
192.168.33.115,9679,1021927
192.168.33.247,3633,896292
192.168.129.180,7926,880228
192.168.130.192,9935,776689
192.168.128.2,9827,739056
192.168.159.254,3596,498700
192.168.34.56,1351,483533
192.168.131.172,4713,432428
192.168.131.192,5185,404896
23.217.68.33,513,393541
192.168.130.104,915,329743
192.168.129.196,2112,214448
192.168.128.160,1000,178690
8.8.8.8,267,170725
8.8.4.4,208,135631
192.168.129.124,443,125844
0.0.0.0,356,121752
192.168.129.248,1215,118859
17.57.145.137,414,77311
151.101.67.6,86,65785
151.101.3.6,77,59744
fe80::89b:5560:4689:df8a,226,53643
fe80::86e:f2ff:28cb:ffc0,478,48676
142.250.194.106,68,45582
192.168.129.24,521,40458
192.168.130.76,498,38742
192.168.131.140,359,37516
17.248.225.44,89,37335
192.168.34.66,279,35820
192.168.130.0,420,33550
192.168.34.57,68,33150
192.168.129.184,418,32870
31.13.82.40,77,27889
17.248.225.69,47,26793
17.253.69.195,42,26489
17.252.196.22,47,25395
151.101.131.6,30,23832
17.57.145.26,47,22982
17.57.145.27,96,22187
18.65.185.29,23,21729
fe80::10b3:df1:3c5:fcc,195,20080
104.18.38.233,32,20044
::,202,19300
151.101.195.6,25,18055
fe80::1443:21e7:6a9a:9015,124,15880
3.164.110.62,25,15815
17.57.145.138,24,13912
52.38.186.244,16,13848
fe80::14c3:77ea:d80e:9601,137,13653
142.250.207.42,41,13292
17.57.12.34,27,13007
17.57.145.149,42,12530
17.57.145.152,38,12497
172.217.31.164,25,12424
17.253.71.133,24,12245
17.57.145.25,21,12244
192.168.33.201,34,11458
192.168.128.3,112,11283
fe80::84:1df8:ea7:98d,108,10994
17.188.182.132,15,10546
192.168.129.84,31,10478
fe80::880:903e:2c5b:e9e5,94,10319
17.188.178.34,12,9473
17.57.145.132,26,9304
fe80::1033:ea9f:5050:e2de,88,9020
fe80::18d4:133d:a5ae:9bcb,81,8512
fe80::1ca0:af5e:3ac4:9dbb,81,8380
17.57.145.133,54,8118
fe80::1844:2097:3257:9265,74,7846
10.4.129.124,13,7670
fe80::8ea:da35:77d2:f31c,69,7130
17.248.225.66,12,7080
147.92.191.21,41,6997
17.248.167.53,15,6665
216.58.220.106,12,6655
147.92.146.129,20,6630
17.57.145.151,23,6324
fe80::ca7:3c49:21f0:240f,49,6198
17.57.145.135,27,5878
fe80::1cb4:f1f7:c2fe:5f22,51,5518
fe80::187b:419a:d069:4877,49,5507
fe80::14b9:1182:e224:de05,52,5400
17.57.145.150,16,4915
17.188.182.4,7,4892
147.92.185.2,13,4777
17.57.145.136,8,4155
17.248.225.64,7,4130
17.248.225.65,7,4130
17.57.145.153,7,4082
142.250.194.131,53,4036
fe80::4ec:c184:ed7c:a269,35,3636
10.4.33.184,6,3540
fe80::1427:ab45:78c1:8045,31,3294
17.248.167.90,11,3184
17.248.167.58,11,3184
fe80::10be:af5d:a02b:a241,28,2878
fe80::82c:471c:b62e:1a30,28,2846
17.188.143.189,6,2631
fe80::42:7ae2:aa1b:cba2,24,2512
fe80::4c1:291e:f7eb:572e,19,2110
fe80::18d5:1120:a5f0:a50c,20,2104
162.159.142.9,7,2102
fe80::42c:1442:3878:7cc7,20,2052
17.248.225.29,3,1770
192.168.100.106,6,1536
192.168.100.110,6,1536
192.168.100.105,6,1536
fe80::1897:a806:39ce:2b03,14,1512
192.168.100.103,5,1494
192.168.100.107,5,1494
192.168.100.104,5,1494
192.168.100.112,4,1452
192.168.100.109,4,1452
fe80::1c5f:29bc:2532:3ae2,15,1382
192.168.100.111,9,1320
10.4.130.104,2,1180
192.168.100.102,9,1156
fe80::10f4:a90c:9408:219c,8,1080
fe80::e9:2846:ad3d:6c50,8,1080
192.168.100.101,3,982
192.168.100.108,2,940
fe80::1cc0:320e:5635:47b7,7,840
44.225.241.36,9,666
52.39.89.0,9,666
44.240.150.60,9,666
34.215.8.130,9,666
fe80::1c4b:682f:a145:e051,5,600
17.248.225.14,1,590
54.187.68.172,7,518
fe80::10c3:4ede:13fb:6b1,2,230
192.168.100.11,2,196
fe80::923c:1dff:fe90:fa6,2,190
fe80::447:c532:79f7:5042,2,152
17.253.68.253,1,90
17.248.167.72,1,74
183.79.253.220,1,74
17.57.145.139,1,74
17.57.145.134,1,74
17.57.145.140,1,74
17.188.183.4,1,74
17.188.182.196,1,74
fe80::eacf:83ff:fe9a:5510,1,70
fe80::d482:26aa:3175:4dc3,1,70
fe80::563:1c10:f4e3:fd72,1,70
