source,dest,packets,traffic_in_bytes
192.168.129.212,172.224.110.16,158,91164
192.168.129.40,17.248.167.69,173,91020
192.168.129.173,17.248.167.86,170,90786
192.168.33.120,108.177.97.108,1186,90764
192.168.129.173,172.224.111.11,151,90618
192.168.130.192,17.248.225.29,1161,90494
192.168.129.88,172.224.110.6,65,90480
192.168.131.16,17.248.167.73,147,90306
192.168.129.173,17.248.167.52,172,89628
192.168.33.120,108.177.97.109,1166,89220
192.168.33.120,17.57.155.39,1164,89096
192.168.63.254,192.168.33.115,95,88570
192.168.129.40,17.248.167.70,175,88548
192.168.131.16,151.101.131.6,180,88536
192.168.131.16,151.101.3.6,180,88536
192.168.131.16,151.101.67.6,180,88536
192.168.131.16,151.101.195.6,179,88458
192.168.33.120,108.177.125.109,1150,88036
192.168.33.120,108.177.125.108,1150,88036
192.168.130.192,17.248.225.44,1119,87282
192.168.131.16,172.224.111.6,156,87066
192.168.129.173,17.248.167.70,167,86610
192.168.130.44,17.248.167.87,149,86520
192.168.129.173,17.248.167.102,161,86142
192.168.129.173,17.248.167.40,161,86142
192.168.129.173,172.224.180.9,161,86142
192.168.130.224,17.248.167.103,155,85674
192.168.63.253,192.168.129.248,928,85656
192.168.130.44,17.248.167.39,151,85362
192.168.130.44,17.248.167.74,134,85350
192.168.63.253,192.168.131.192,562,84884
192.168.129.173,17.248.225.69,1086,84708
192.168.33.115,17.248.225.44,1085,84630
192.168.129.212,172.224.110.7,152,84126
192.168.129.248,192.168.63.253,924,83820
192.168.129.88,172.224.180.133,60,83520
192.168.130.224,17.248.167.87,142,82032
192.168.33.115,192.168.63.254,70,81140
192.168.130.238,17.42.251.69,1050,81100
192.168.130.238,17.42.251.72,1050,81100
192.168.129.173,17.248.167.55,161,80886
192.168.129.173,172.224.111.13,156,80496
192.168.33.115,17.248.225.29,1030,80340
192.168.128.72,172.224.111.11,150,80028
192.168.131.16,172.224.110.7,143,79482
192.168.131.16,172.224.111.4,143,79482
192.168.129.88,172.224.111.7,57,79344
192.168.33.115,17.253.69.207,164,79296
192.168.129.173,172.224.110.9,136,78936
192.168.129.173,17.248.167.103,164,78492
192.168.129.173,17.248.167.87,158,78024
192.168.130.224,17.248.167.72,137,77700
192.168.130.44,17.248.167.36,152,77556
17.57.145.137,192.168.33.120,413,77237
192.168.129.40,192.168.63.253,1004,77228
192.168.63.253,192.168.130.116,286,76832
192.168.129.88,172.224.111.4,55,76560
192.168.129.88,172.224.111.14,55,76560
8.8.8.8,192.168.130.104,119,76024
192.168.130.224,17.248.167.85,132,75996
192.168.129.173,172.224.180.132,129,75762
192.168.130.224,17.248.167.106,144,75618
192.168.130.44,17.248.167.37,143,75540
192.168.129.212,172.224.111.7,126,75528
192.168.131.16,17.248.167.102,141,75384
192.168.129.88,172.224.110.17,54,75168
192.168.129.88,172.224.110.14,54,75168
192.168.33.184,17.248.167.55,130,74526
192.168.129.40,151.101.67.6,164,74448
192.168.129.40,151.101.195.6,162,74400
192.168.129.40,151.101.131.6,160,74280
192.168.129.212,172.224.110.19,139,73914
192.168.129.173,172.224.110.11,139,73914
