ip_address,packets,traffic_in_bytes
192.168.100.201,509832,966058768
239.192.0.1,509832,966058768
192.168.63.253,624099,273043392
192.168.63.254,523414,233390638
192.168.128.2,32526,32212401
192.168.130.44,33584,8921020
192.168.129.173,32172,7307480
192.168.131.16,14990,4270092
192.168.129.212,16057,3944215
192.168.130.224,14258,3857189
192.168.128.72,13876,3677271
192.168.129.40,9548,3118864
192.168.33.120,21939,2880584
192.168.129.88,5207,2548186
192.168.128.52,9447,2330694
192.168.130.238,12730,2218730
192.168.129.69,5944,1948167
192.168.130.208,7059,1801538
192.168.33.115,10731,1754555
151.101.67.6,3132,1463629
151.101.3.6,3085,1442390
192.168.130.196,6580,1421026
151.101.195.6,3016,1411521
151.101.131.6,3003,1406210
192.168.33.184,3680,1401380
192.168.130.116,5207,1305722
192.168.131.132,4735,1244253
192.168.129.180,8650,1080246
17.248.225.44,12410,1043546
192.168.159.254,8391,1042126
192.168.33.247,3831,1031237
192.168.130.192,11236,971337
17.248.225.29,12138,965940
17.57.145.137,1167,964062
17.248.167.68,1709,949280
17.248.225.14,10350,819018
17.248.167.102,1375,758994
17.248.167.59,1208,702606
17.248.167.56,1117,690252
17.248.167.107,1100,680994
192.168.130.104,1678,672116
17.248.167.88,1208,669756
17.248.167.40,1036,609004
17.248.167.90,1147,604967
17.248.167.89,1069,598438
17.248.167.53,987,597582
17.248.167.70,1119,590544
17.248.225.69,6625,567773
17.248.167.105,1060,564918
172.224.111.6,953,560514
17.248.167.85,995,555906
172.224.111.9,892,554442
17.248.167.69,1073,552792
172.224.111.4,819,536922
17.248.167.52,985,535416
192.168.131.172,5227,534118
172.224.110.5,912,527078
192.168.34.56,1413,506617
17.248.167.41,930,503532
17.248.167.43,901,501270
17.248.167.86,898,493152
192.168.131.192,5749,490464
8.8.8.8,3966,486084
17.248.167.73,810,479718
17.248.167.87,837,475254
172.224.180.132,765,473580
172.224.111.14,762,472032
23.217.68.33,1087,466743
172.224.110.6,746,461570
172.224.110.10,771,459578
172.224.180.138,801,459306
172.224.110.7,718,451518
8.8.4.4,3926,447111
172.224.110.16,798,443304
17.248.167.91,689,442606
17.248.167.58,768,437458
172.224.180.135,659,432462
172.224.111.10,658,421872
172.224.180.4,684,421272
172.224.110.4,679,412998
172.224.111.5,628,401120
17.248.167.54,674,399468
172.224.111.7,637,397896
17.248.167.103,754,397824
172.224.111.13,661,395826
172.224.180.133,637,395252
17.248.167.72,664,392048
172.224.111.11,582,388350
17.248.167.106,739,382200
172.224.110.20,628,374840
192.168.129.196,3615,369196
17.248.167.75,605,355980
172.224.110.11,637,355848
172.224.111.16,611,355134
172.224.180.136,545,351284
17.248.167.55,625,349656
172.224.110.14,544,347280
172.224.110.8,549,333216
17.248.167.74,546,332950
172.224.110.19,501,326844
17.248.225.65,3900,319134
172.224.110.17,452,313824
172.224.110.9,547,312036
172.224.180.7,527,310476
17.248.225.68,3845,299750
172.224.110.18,476,294672
192.168.129.124,890,293759
17.42.251.69,3821,293302
17.42.251.72,3808,292736
172.224.180.6,511,292130
17.248.167.37,512,289580
172.224.110.12,536,288840
17.248.225.64,3395,281946
17.248.167.36,523,281240
172.224.110.13,439,272076
172.224.180.9,456,269460
17.248.167.39,466,266266
192.168.129.248,2367,265062
17.248.167.42,442,264426
17.248.225.66,3066,263204
172.224.180.8,459,263124
172.224.180.131,442,249972
17.248.225.70,3198,249332
17.248.167.71,402,245506
172.224.180.137,433,240072
255.255.255.255,696,238032
17.248.225.67,3009,234654
17.248.167.101,433,230874
17.248.167.84,375,228978
172.224.111.12,363,226728
192.168.128.160,1383,222452
172.224.180.3,345,220068
172.224.111.15,307,218418
172.224.111.8,298,217716
17.248.167.104,393,209358
17.248.167.38,366,203310
ff02::fb,1199,177084
172.224.110.15,269,172092
17.57.145.27,345,160681
172.224.180.10,298,154644
151.101.67.52,198,142342
151.101.131.52,193,137928
151.101.3.52,192,137886
151.101.195.52,188,137646
224.0.0.251,1095,136803
64.233.189.108,1738,135532
64.233.189.109,1727,134690
17.253.69.207,814,129964
17.248.167.100,204,122346
0.0.0.0,356,121752
182.248.170.97,1545,119710
172.224.180.5,197,119172
172.224.180.134,124,110850
17.57.155.39,1266,96940
108.177.97.108,1235,94554
108.177.97.109,1215,93010
108.177.125.109,1203,92106
108.177.125.108,1202,92028
142.250.194.106,175,88101
17.253.69.195,656,81261
74.125.203.108,1020,78152
142.251.170.109,1015,77842
142.251.170.108,1010,77452
74.125.203.109,1009,77310
192.168.131.140,626,72928
31.13.82.174,149,69336
192.168.129.24,858,67448
ff02::16,644,65740
17.253.69.196,838,65348
192.168.130.76,825,65344
23.52.128.21,827,64506
17.253.69.205,819,63866
17.57.145.133,217,62355
23.52.128.17,759,59202
17.253.69.200,731,56954
192.168.129.184,715,56902
192.168.130.0,712,56698
17.253.69.198,704,54896
142.250.207.42,145,54026
17.253.69.201,692,53960
17.57.12.34,466,53825
fe80::89b:5560:4689:df8a,226,53643
147.92.191.21,122,51543
17.156.192.7,654,50948
172.64.69.66,74,49914
162.159.194.66,73,49872
162.159.196.66,73,49872
172.64.68.66,72,49830
17.253.69.202,633,49342
17.56.9.32,633,49326
fe80::86e:f2ff:28cb:ffc0,478,48676
17.253.69.208,620,48344
31.13.82.40,281,48224
17.253.69.199,606,47220
17.57.145.26,211,46784
57.144.150.34,98,46734
17.253.69.203,596,46488
192.168.34.66,310,46422
17.253.69.197,590,46020
17.253.71.133,426,45628
192.168.34.57,102,45288
17.253.71.148,575,44850
17.253.71.136,562,43820
17.253.71.140,555,43258
23.192.46.178,529,41262
17.253.69.204,525,40950
17.253.71.134,522,40684
65.1.18.34,79,39174
31.13.82.1,64,38000
17.253.71.132,481,37486
17.57.145.149,144,37247
17.253.71.147,476,37128
