dest,packets,traffic_in_bytes
142.250.194.131,177,43010
142.250.207.42,130,42762
17.253.71.145,532,41480
17.253.71.135,486,41258
17.253.71.139,529,41246
17.253.71.137,524,40872
216.58.220.138,115,40624
23.192.46.138,512,39936
23.62.20.111,76,39771
31.13.82.1,64,38000
142.251.42.138,131,37959
172.217.161.74,131,37911
172.217.26.238,87,37634
216.58.220.106,170,37351
157.240.209.142,52,36888
147.92.191.92,76,36872
17.253.71.144,472,36784
57.144.152.192,111,36626
202.233.84.1,100,36370
192.168.129.84,151,36362
239.255.255.250,192,35844
192.168.34.57,100,35700
17.57.155.35,463,35506
17.253.71.152,450,35100
17.253.71.142,448,34944
23.62.20.107,285,34484
17.57.156.39,443,34410
34.102.157.207,61,34182
17.253.71.143,437,34086
192.168.33.201,99,33858
17.253.71.131,409,33346
18.205.208.254,197,32071
142.250.196.138,106,31536
142.251.42.202,104,31392
142.250.199.106,104,31392
172.217.175.34,63,31371
17.57.145.132,209,31290
192.168.34.66,91,31122
192.168.255.255,307,30930
17.111.103.20,402,30924
17.253.71.149,387,30885
23.62.20.91,218,30681
34.96.106.127,30,30588
192.168.34.56,88,30166
49.102.155.1,381,29718
142.250.194.138,78,29364
172.217.175.46,107,29288
192.168.129.200,165,29168
65.8.179.77,388,29095
103.132.192.30,106,28900
57.144.152.196,42,28812
52.193.218.111,84,28454
35.244.205.217,48,28368
17.253.71.146,362,28236
17.57.145.135,180,27471
151.101.64.84,40,27450
13.227.77.215,130,27442
142.250.196.104,251,27309
182.22.30.204,78,26817
17.253.71.138,341,26582
4.153.129.168,56,26500
17.57.145.149,120,26121
142.250.207.3,165,25674
151.101.192.84,40,25671
172.217.26.226,61,25560
142.250.196.131,316,24648
17.171.47.23,320,24608
172.217.175.234,89,24402
216.239.32.29,310,24180
183.79.48.249,85,23989
142.250.207.10,80,23700
142.250.196.106,80,23700
23.51.14.177,201,23640
17.57.145.152,161,23569
182.161.74.19,79,23454
172.64.68.64,45,23220
172.64.69.64,45,23220
162.159.196.64,45,23220
162.159.194.64,45,23220
182.248.170.225,301,23142
172.217.174.106,72,23064
57.144.150.1,40,22908
18.155.192.75,94,22604
3.115.53.205,88,22507
142.250.194.142,55,22356
142.250.77.170,92,22310
17.57.145.150,104,22277
142.251.42.206,52,22155
17.157.64.66,34,22100
17.8.139.6,111,22100
13.112.141.181,60,21943
157.240.31.63,47,21906
216.239.38.223,51,21173
182.161.74.14,66,20714
31.13.82.40,206,20467
142.251.42.131,22,20428
13.113.0.9,62,20155
18.178.233.21,257,20146
23.52.128.70,33,19477
18.173.121.68,79,19401
141.226.224.32,66,19377
31.13.82.7,63,19117
108.138.246.13,81,19061
172.217.31.170,66,19000
147.92.184.151,72,18961
108.138.245.118,28,18779
182.161.74.48,60,18509
17.138.222.129,237,18486
151.101.1.91,91,18472
52.220.188.161,241,18446
17.137.162.3,238,18324
142.250.77.162,61,18277
34.117.67.69,16,17940
34.111.123.165,61,17904
172.217.26.234,74,17412
57.144.124.3,21,17400
69.173.158.64,55,17147
104.21.34.165,94,16870
172.217.175.42,66,16788
172.217.31.138,64,16632
34.102.164.249,14,16500
34.36.71.42,12,16344
47.130.6.21,46,16288
17.188.182.132,197,16101
34.102.215.99,206,16068
17.57.145.138,188,15927
142.250.207.2,33,15917
49.102.153.239,204,15704
49.102.153.240,203,15626
3.169.183.128,45,15577
57.182.229.142,199,15426
54.150.150.157,49,15399
17.188.182.68,197,15366
17.253.71.73,11,15312
17.253.71.125,11,15312
182.22.16.123,193,15225
17.188.182.4,190,15211
65.8.180.82,63,15169
3.169.183.41,34,15158
172.217.161.42,56,15027
17.188.182.196,191,14880
17.188.183.4,190,14802
18.176.207.71,49,14769
74.125.23.154,51,14255
64.78.201.1,181,14118
44.227.190.208,190,14060
34.160.231.76,15,14010
142.251.42.130,40,13943
202.233.84.10,43,13915
151.101.1.44,78,13890
64.78.200.1,178,13884
34.49.1.209,33,13875
147.92.146.129,147,13830
17.188.179.2,177,13806
17.57.145.25,160,13767
17.57.152.35,178,13676
17.188.143.126,175,13650
17.167.200.72,175,13650
17.57.156.25,175,13490
17.188.178.34,150,13429
17.188.143.125,172,13416
17.57.145.139,172,13398
17.57.145.140,172,13398
115.127.227.158,61,13395
162.159.140.229,46,13338
172.66.0.227,47,13151
17.57.152.32,170,13052
23.208.236.42,167,13026
17.57.172.4,167,13026
17.188.143.189,148,13002
17.188.143.158,166,12948
104.18.22.232,199,12866
17.138.176.4,165,12854
108.139.10.31,74,12784
207.65.34.80,36,12781
104.18.23.232,197,12742
35.244.154.8,41,12490
17.188.143.157,160,12480
17.179.252.2,160,12480
151.101.108.157,63,12471
35.72.86.201,42,12453
17.57.145.136,154,12403
147.92.146.138,140,12401
17.138.144.4,158,12324
157.240.209.63,16,12192
57.144.150.192,16,12192
23.35.100.27,34,12107
23.62.20.102,129,11937
23.62.20.117,35,11852
68.71.249.74,53,11845
133.237.108.90,36,11822
17.188.172.72,151,11778
17.253.68.117,151,11778
17.188.171.138,147,11466
151.101.2.132,44,11290
34.110.200.237,13,11286
216.239.36.223,18,11283
176.32.88.193,41,11263
147.92.185.2,138,11257
17.188.178.2,143,11154
17.57.145.134,139,10980
23.62.20.101,34,10975
23.216.153.78,143,10941
147.92.249.185,140,10904
157.240.209.16,15,10898
57.144.176.141,15,10870
17.188.143.187,139,10842
18.140.18.123,36,10679
17.253.71.127,7,10632
17.253.71.65,7,10632
23.54.60.36,27,10628
17.253.68.245,135,10530
23.51.14.193,52,10480
17.188.179.34,134,10452
57.155.120.218,33,10321
142.250.207.35,19,10290
23.52.128.88,35,10234
17.253.68.115,130,10140
104.18.26.193,27,10116
35.78.134.177,46,10102
57.144.124.196,168,10080
17.188.178.226,129,10062
65.8.177.106,76,9924
17.188.172.74,126,9828
17.188.171.202,125,9750
17.188.168.161,125,9750
142.251.8.108,126,9700
142.251.8.109,126,9700
18.155.192.58,77,9631
57.144.152.141,14,9604
17.188.171.74,123,9594
147.92.185.1,123,9578
17.253.114.43,106,9540
139.99.123.150,37,9517
23.192.46.130,121,9438
23.62.20.98,46,9368
17.188.172.10,120,9360
23.217.180.238,36,9341
ff02::1:ffcb:ffc0,108,9288
18.244.214.45,31,9276
23.52.128.139,118,9204
17.253.68.113,118,9204
17.248.221.2,18,9202
34.192.193.237,32,9198
34.107.172.168,24,9185
23.52.128.132,117,9126
23.62.21.155,25,9111
17.138.222.1,116,9048
17.137.163.2,117,8998
172.188.170.32,27,8889
172.67.163.20,46,8852
54.251.116.93,37,8833
23.106.127.169,34,8829
108.138.246.8,35,8693
216.239.32.112,116,8632
18.173.121.87,32,8498
3.169.183.7,31,8477
35.213.7.90,22,8475
106.153.247.72,107,8346
17.188.170.135,107,8346
224.0.0.2,139,8340
23.62.20.75,25,8272
17.145.0.2,106,8268
17.188.170.10,106,8268
18.139.169.112,107,8202
157.240.31.142,11,8154
18.239.199.34,30,8152
106.153.247.40,104,8112
17.252.196.22,56,8101
74.125.10.70,14,8076
119.8.187.97,27,8066
106.153.247.8,103,8034
17.253.68.243,103,8034
141.226.231.48,24,8032
17.188.170.72,101,7878
35.244.159.8,25,7819
18.176.63.71,20,7807
150.171.28.10,41,7745
3.212.190.79,98,7644
17.253.68.253,82,7380
150.171.27.10,37,7362
52.223.2.229,36,7334
23.54.60.26,24,7245
17.57.145.153,87,7219
